,Previous_Gpa,Stress_Level,Mental_Health_Rating,Dropout_Risk,Exam_Score,Results
0,4.0,5.8,6.0,No,100,Pass
1,4.0,5.8,6.8,No,99,Pass
2,3.79,8.0,5.7,No,98,Pass
3,4.0,4.6,8.5,No,100,Pass
4,4.0,5.7,9.2,No,98,Pass
5,4.0,1.5,9.2,No,94,Pass
6,4.0,2.5,5.8,No,97,Pass
7,3.3,5.3,4.8,No,84,Pass
8,2.61,4.0,3.5,No,70,Pass
9,3.78,3.3,5.9,No,100,Pass
10,4.0,3.7,7.8,No,100,Pass
11,4.0,2.0,4.0,No,100,Pass
12,4.0,3.8,5.6,No,96,Pass
13,3.31,5.9,8.1,No,83,Pass
14,3.21,7.5,7.300000000000001,No,77,Pass
15,3.14,4.7,10.0,No,87,Pass
16,4.0,5.9,9.9,No,100,Pass
17,3.6,4.9,5.8,No,93,Pass
18,3.77,6.2,9.6,No,88,Pass
19,3.7,2.4,7.9,No,92,Pass
20,2.65,5.0,8.1,No,60,Pass
21,3.33,4.9,6.4,No,82,Pass
22,4.0,6.8,7.3,No,100,Pass
23,4.0,6.1,9.3,No,100,Pass
24,3.27,9.5,1.7999999999999998,Yes,80,Pass
25,3.76,6.6,7.4,No,89,Pass
26,4.0,3.8,10.0,No,92,Pass
27,3.75,7.1,8.7,No,88,Pass
28,3.68,5.3,4.7,No,95,Pass
29,4.0,3.9,4.5,No,100,Pass
30,4.0,7.8,5.1,No,100,Pass
31,3.73,4.3,5.2,No,93,Pass
32,4.0,4.3,6.6,No,94,Pass
33,3.28,6.9,5.4,No,76,Pass
34,4.0,3.9,6.7,No,100,Pass
35,3.59,5.1,7.8,No,89,Pass
36,3.08,5.9,8.8,No,86,Pass
37,4.0,3.3,4.5,No,100,Pass
38,4.0,2.4,9.8,No,100,Pass
39,4.0,7.9,3.8,No,100,Pass
40,3.36,8.4,5.0,No,80,Pass
41,3.75,5.6,8.1,No,91,Pass
42,4.0,6.0,7.3,No,100,Pass
43,4.0,5.4,8.5,No,96,Pass
44,4.0,4.4,6.1,No,100,Pass
45,3.42,4.9,8.8,No,78,Pass
46,4.0,4.9,9.0,No,99,Pass
47,4.0,7.2,4.8,No,100,Pass
48,3.59,5.2,8.8,No,84,Pass
49,3.18,4.4,4.4,No,84,Pass
50,3.52,8.1,7.0,Yes,79,Pass
51,3.24,7.3,6.5,No,88,Pass
52,4.0,6.3,5.3,No,98,Pass
53,3.13,2.1,7.4,No,70,Pass
54,4.0,4.0,9.5,No,100,Pass
55,4.0,7.7,5.5,No,98,Pass
56,3.09,7.2,9.6,No,79,Pass
57,3.45,6.4,9.2,No,88,Pass
58,3.99,5.8,5.4,No,96,Pass
59,3.68,8.7,5.5,No,100,Pass
60,4.0,5.4,3.4,No,97,Pass
61,4.0,4.0,9.0,No,100,Pass
62,2.98,6.0,8.6,No,75,Pass
63,3.73,3.6,9.2,No,96,Pass
64,4.0,6.0,3.8,No,99,Pass
65,3.52,4.2,7.3,No,83,Pass
66,2.85,6.4,8.1,No,76,Pass
67,3.07,7.3,10.0,No,79,Pass
68,3.28,8.4,5.5,No,86,Pass
69,4.0,5.3,6.7,No,97,Pass
70,4.0,4.4,6.6,No,96,Pass
